名称,Location,主题,任务,创建时间,区域,存档,收藏,状态,目标,笔记本,编辑时间,资源,项目
Camera Framework,,,,"March 13, 2024 11:12 AM",,No,No,草稿,,Android Camera (Android%20Camera%20223bafcb1e7f805780d9d4be9b6d1274.md),"September 15, 2024 8:10 PM",,
c++,,,,"March 13, 2024 11:12 AM",,No,No,草稿,,C / C++ (https://app.notion.com/p/C-C-2d54df25daef420ca165a62b531efe4c?pvs=21),"July 29, 2026 9:20 AM",,
ISP Demosaic and CCM,,,,"March 13, 2024 11:12 AM",,No,No,收集,,Android Camera (Android%20Camera%20223bafcb1e7f805780d9d4be9b6d1274.md),"August 26, 2024 5:16 PM",,
Camera Metadata,/system/media/camera/,,,"August 9, 2024 4:00 PM",,No,No,草稿,,Android Camera (Android%20Camera%20223bafcb1e7f805780d9d4be9b6d1274.md),"September 17, 2024 9:01 AM",,
Camera 算法,,,,"August 9, 2024 6:09 PM",,No,No,草稿,,Android Camera (Android%20Camera%20223bafcb1e7f805780d9d4be9b6d1274.md),"January 29, 2026 7:29 PM",,
Camera Preview,,,,"August 12, 2024 10:30 AM",,No,No,草稿,,Android Camera (Android%20Camera%20223bafcb1e7f805780d9d4be9b6d1274.md),"September 16, 2024 6:02 PM",,
安卓基础面试题,,,,"August 29, 2024 10:34 AM",,No,No,草稿,,Android Camera (Android%20Camera%20223bafcb1e7f805780d9d4be9b6d1274.md),"October 17, 2024 3:48 PM",,
JESD204B,,,,"December 20, 2024 12:12 PM",,No,No,收集,,高速接口 (https://app.notion.com/p/162bafcb1e7f80efba68ccdb4c429796?pvs=21),"April 12, 2025 1:10 PM",,毕业设计 (https://app.notion.com/p/162bafcb1e7f8040873ff6656b00e2d0?pvs=21)
Record and Enchaned1.1,,,cafe (https://app.notion.com/p/cafe-1adbafcb1e7f80acb938c996cc794042?pvs=21),"March 6, 2025 6:27 PM",,No,No,收集,,English conversation (https://app.notion.com/p/English-conversation-c5b052feba8b4164872ae906b460709d?pvs=21),"March 8, 2025 10:02 AM",,
Note1.1,,English (https://app.notion.com/p/English-110bafcb1e7f803d9977e4fa33d5e37d?pvs=21),cafe (https://app.notion.com/p/cafe-1adbafcb1e7f80acb938c996cc794042?pvs=21),"March 6, 2025 6:30 PM",English Learning (https://app.notion.com/p/English-Learning-19dbafcb1e7f8085b60de2a5b44f9e0d?pvs=21),Yes,No,收集,Conversation fluency (https://app.notion.com/p/Conversation-fluency-85e7546a3aeb4ca9a68189c0f527ebc8?pvs=21),English conversation (https://app.notion.com/p/English-conversation-c5b052feba8b4164872ae906b460709d?pvs=21),"March 8, 2025 10:02 AM",,
Note1.2,,,Library (https://app.notion.com/p/Library-1aebafcb1e7f802a88a7cf83eba1d7ab?pvs=21),"March 6, 2025 11:33 PM",English Learning (https://app.notion.com/p/English-Learning-19dbafcb1e7f8085b60de2a5b44f9e0d?pvs=21),No,No,收集,Conversation fluency (https://app.notion.com/p/Conversation-fluency-85e7546a3aeb4ca9a68189c0f527ebc8?pvs=21),English conversation (https://app.notion.com/p/English-conversation-c5b052feba8b4164872ae906b460709d?pvs=21),"July 29, 2026 9:22 AM",,
Record and Enchanced1.2,,口语话题 (https://app.notion.com/p/0eb083673416465e8adad18601170cbc?pvs=21),Library (https://app.notion.com/p/Library-1aebafcb1e7f802a88a7cf83eba1d7ab?pvs=21),"March 8, 2025 10:03 AM",English Learning (https://app.notion.com/p/English-Learning-19dbafcb1e7f8085b60de2a5b44f9e0d?pvs=21),No,No,草稿,Conversation fluency (https://app.notion.com/p/Conversation-fluency-85e7546a3aeb4ca9a68189c0f527ebc8?pvs=21),English conversation (https://app.notion.com/p/English-conversation-c5b052feba8b4164872ae906b460709d?pvs=21),"March 8, 2025 3:53 PM",,
1. Gender Roles,,,,"April 10, 2025 6:36 PM",,No,No,收集,,English Writting (https://app.notion.com/p/English-Writting-c1400f5ba26a4ecc979800ed0146e92c?pvs=21),"December 29, 2025 9:32 AM",,
Memory 虚拟化,,,,"July 1, 2025 9:47 AM",,No,No,收集,,QEMU (https://app.notion.com/p/QEMU-223bafcb1e7f809eaabbe48b83dc0bd2?pvs=21),"July 1, 2025 5:50 PM",,
新笔记,,,,"September 27, 2025 2:15 PM",,No,No,收集,,English conversation (https://app.notion.com/p/English-conversation-c5b052feba8b4164872ae906b460709d?pvs=21),"September 27, 2025 3:46 PM",,
遇到的问题,,,,"December 12, 2025 3:41 PM",,No,No,收集,,QEMU (https://app.notion.com/p/QEMU-223bafcb1e7f809eaabbe48b83dc0bd2?pvs=21),"February 2, 2026 4:25 PM",,
record and enchaned 1.3,,,daily life (https://app.notion.com/p/daily-life-350bafcb1e7f8059afc3e90f26bb9d1e?pvs=21),"April 26, 2026 9:48 PM",English Learning (https://app.notion.com/p/English-Learning-19dbafcb1e7f8085b60de2a5b44f9e0d?pvs=21),No,No,收集,Conversation fluency (https://app.notion.com/p/Conversation-fluency-85e7546a3aeb4ca9a68189c0f527ebc8?pvs=21),English conversation (https://app.notion.com/p/English-conversation-c5b052feba8b4164872ae906b460709d?pvs=21),"April 28, 2026 1:04 PM",,
Record an enhanced 1.4,,"口语话题 (https://app.notion.com/p/0eb083673416465e8adad18601170cbc?pvs=21), English (https://app.notion.com/p/English-110bafcb1e7f803d9977e4fa33d5e37d?pvs=21)",,"April 29, 2026 2:25 PM",English Learning (https://app.notion.com/p/English-Learning-19dbafcb1e7f8085b60de2a5b44f9e0d?pvs=21),No,No,收集,Conversation fluency (https://app.notion.com/p/Conversation-fluency-85e7546a3aeb4ca9a68189c0f527ebc8?pvs=21),English conversation (https://app.notion.com/p/English-conversation-c5b052feba8b4164872ae906b460709d?pvs=21),"April 29, 2026 2:29 PM",,
About Climbing,,口语话题 (https://app.notion.com/p/0eb083673416465e8adad18601170cbc?pvs=21),,"June 14, 2026 9:45 AM",English Learning (https://app.notion.com/p/English-Learning-19dbafcb1e7f8085b60de2a5b44f9e0d?pvs=21),No,No,收集,Conversation fluency (https://app.notion.com/p/Conversation-fluency-85e7546a3aeb4ca9a68189c0f527ebc8?pvs=21),English conversation (https://app.notion.com/p/English-conversation-c5b052feba8b4164872ae906b460709d?pvs=21),"June 29, 2026 7:52 PM",,
